Detection Time (UTC),Longitude,Latitude,Folder
2023-08-27 05:36:05,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 05:58:33,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 06:30:09,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 06:54:57,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 09:58:12,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 10:10:27,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 10:11:09,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 10:33:52,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 10:57:43,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 11:16:38,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 11:35:17,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 12:37:02,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-27 13:26:07,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-28 01:25:12,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-28 08:14:47,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-28 21:52:01,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-28 22:11:07,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-29 05:25:51,-121.941,46.78366666666667,2023-08-28_22-11-03.590
2023-08-29 07:45:01,-121.941,46.78366666666667,2023-08-28_22-11-03.590
