Unique Detection Time (UTC),Duplicate Detections (UTC),Match-PNSN
2023-08-27 09:58:12,"2023-08-28_08-14-42.960, 2023-08-30_06-13-26.140, 2023-08-27_05-58-27.600, 2023-08-29_07-44-59.430, 2023-08-28_02-44-56.290, 2023-08-27_12-50-23.490, 2023-08-27_13-26-03.210, 2023-08-28_01-25-08.290, 2023-08-27_10-57-37.070, 2023-08-27_10-36-46.980, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770, 2023-08-27_05-36-05.360, 2023-08-28_22-11-03.590, 2023-08-27_10-33-48.930, 2023-08-27_14-02-20.400, 2023-08-27_06-30-01.970, 2023-08-27_10-26-15.050, 2023-08-27_20-07-47.140, 2023-08-29_05-25-49.600, 2023-08-28_21-51-59.670, 2023-08-30_05-59-49.670, 2023-08-28_01-58-56.490, 2023-08-28_04-28-20.740, 2023-08-29_05-49-48.530, 2023-08-28_10-25-21.180, 2023-08-27_11-37-37.230, 2023-08-27_12-36-58.390, 2023-08-27_09-58-08.540, 2023-08-28_12-58-31.740, 2023-08-27_11-37-59.620, 2023-08-27_11-35-13.520, 2023-08-27_11-55-15.880, 2023-08-28_18-47-59.200, 2023-08-27_06-54-53.700, 2023-08-30_15-58-06.050, 2023-08-27_12-41-20.950, 2023-08-29_10-21-44.840, 2023-08-27_11-46-16.910",Yes
2023-08-27 10:10:26,"2023-08-27_11-35-13.520, 2023-08-27_10-10-23.770, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-27_11-37-59.620, 2023-08-27_11-37-37.230, 2023-08-29_03-07-57.930, 2023-08-29_05-25-49.600, 2023-08-27_10-26-15.050, 2023-08-27_10-33-48.930, 2023-08-27_11-46-16.910, 2023-08-28_22-11-03.590, 2023-08-27_20-07-47.140, 2023-08-28_08-14-42.960, 2023-08-27_14-02-20.400, 2023-08-30_15-58-06.050, 2023-08-28_10-25-21.180, 2023-08-28_18-47-59.200, 2023-08-27_12-36-58.390, 2023-08-27_10-36-46.980, 2023-08-28_01-25-08.290, 2023-08-27_13-26-03.210, 2023-08-28_04-28-20.740, 2023-08-27_10-57-37.070, 2023-08-28_12-58-31.740, 2023-08-27_12-50-23.490, 2023-08-27_05-58-27.600, 2023-08-28_01-58-56.490, 2023-08-27_12-41-20.950, 2023-08-28_02-44-56.290, 2023-08-27_11-55-15.880, 2023-08-29_05-49-48.530, 2023-08-28_21-51-59.670, 2023-08-30_00-51-10.050, 2023-08-30_05-59-49.670, 2023-08-27_06-30-01.970, 2023-08-27_09-58-08.540, 2023-08-27_06-54-53.700, 2023-08-30_06-13-26.140, 2023-08-29_07-44-59.430, 2023-08-29_10-21-44.840",Yes
2023-08-27 10:11:08,"2023-08-27_10-10-23.770, 2023-08-28_10-25-21.180, 2023-08-30_15-58-06.050, 2023-08-27_09-58-08.540, 2023-08-28_12-58-31.740, 2023-08-27_11-35-13.520, 2023-08-29_05-49-48.530, 2023-08-29_07-44-59.430, 2023-08-27_11-37-37.230, 2023-08-27_05-58-27.600, 2023-08-28_21-51-59.670, 2023-08-27_10-57-37.070, 2023-08-30_06-13-26.140, 2023-08-27_10-36-46.980, 2023-08-27_11-16-32.730, 2023-08-28_08-14-42.960, 2023-08-27_11-55-15.880, 2023-08-27_11-46-16.910, 2023-08-30_05-59-49.670, 2023-08-27_20-07-47.140, 2023-08-27_14-02-20.400, 2023-08-27_06-30-01.970, 2023-08-28_01-25-08.290, 2023-08-27_13-26-03.210, 2023-08-27_05-36-05.360, 2023-08-27_11-37-59.620, 2023-08-27_12-50-23.490, 2023-08-28_02-44-56.290, 2023-08-27_12-41-20.950, 2023-08-29_10-21-44.840, 2023-08-27_06-54-53.700, 2023-08-28_04-28-20.740, 2023-08-27_12-36-58.390, 2023-08-28_22-11-03.590, 2023-08-28_01-58-56.490, 2023-08-27_10-33-48.930, 2023-08-28_18-47-59.200, 2023-08-27_10-26-15.050, 2023-08-29_03-07-57.930, 2023-08-29_05-25-49.600",No
2023-08-27 10:26:15,"2023-08-27_10-26-15.050, 2023-08-28_21-51-59.670, 2023-08-27_11-37-37.230, 2023-08-27_13-26-03.210, 2023-08-27_12-41-20.950, 2023-08-27_10-57-37.070, 2023-08-27_05-58-27.600, 2023-08-27_09-58-08.540, 2023-08-27_10-10-23.770, 2023-08-30_15-58-06.050, 2023-08-27_06-54-53.700, 2023-08-28_04-28-20.740, 2023-08-27_12-36-58.390, 2023-08-27_11-35-13.520, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-27_11-37-59.620, 2023-08-29_07-44-59.430, 2023-08-28_08-14-42.960, 2023-08-27_10-33-48.930, 2023-08-30_05-59-49.670",Yes
2023-08-27 10:33:51,"2023-08-27_10-10-23.770, 2023-08-27_11-16-32.730, 2023-08-27_11-35-13.520, 2023-08-27_10-33-48.930, 2023-08-27_05-36-05.360, 2023-08-28_01-25-08.290, 2023-08-28_18-47-59.200, 2023-08-28_10-25-21.180, 2023-08-27_05-58-27.600, 2023-08-30_05-59-49.670, 2023-08-29_05-49-48.530, 2023-08-27_10-36-46.980, 2023-08-30_15-58-06.050, 2023-08-27_09-58-08.540, 2023-08-27_12-50-23.490, 2023-08-27_10-57-37.070, 2023-08-29_05-25-49.600, 2023-08-29_10-21-44.840, 2023-08-27_12-41-20.950, 2023-08-27_13-26-03.210, 2023-08-28_12-58-31.740, 2023-08-29_07-44-59.430, 2023-08-28_21-51-59.670, 2023-08-27_10-26-15.050, 2023-08-28_02-44-56.290, 2023-08-30_06-13-26.140, 2023-08-27_11-46-16.910, 2023-08-28_01-58-56.490, 2023-08-27_06-54-53.700, 2023-08-28_04-28-20.740, 2023-08-28_22-11-03.590, 2023-08-27_12-36-58.390, 2023-08-28_08-14-42.960, 2023-08-27_06-30-01.970, 2023-08-29_03-07-57.930, 2023-08-27_11-55-15.880, 2023-08-27_14-02-20.400, 2023-08-27_11-37-37.230, 2023-08-27_20-07-47.140, 2023-08-27_11-37-59.620",Yes
2023-08-27 10:36:53,"2023-08-27_10-36-46.980, 2023-08-27_14-02-20.400, 2023-08-27_13-26-03.210, 2023-08-27_05-36-05.360, 2023-08-28_04-28-20.740, 2023-08-27_11-35-13.520, 2023-08-28_18-47-59.200, 2023-08-27_11-16-32.730, 2023-08-27_12-41-20.950, 2023-08-27_09-58-08.540, 2023-08-29_05-25-49.600, 2023-08-27_11-37-59.620, 2023-08-29_07-44-59.430, 2023-08-27_10-33-48.930, 2023-08-28_12-58-31.740, 2023-08-28_08-14-42.960, 2023-08-28_21-51-59.670, 2023-08-27_12-36-58.390, 2023-08-27_06-30-01.970, 2023-08-27_06-54-53.700, 2023-08-28_01-25-08.290, 2023-08-27_05-58-27.600, 2023-08-27_10-57-37.070, 2023-08-27_11-37-37.230, 2023-08-27_10-10-23.770",Yes
2023-08-27 10:48:12,"2023-08-27_05-36-05.360, 2023-08-27_12-36-58.390, 2023-08-28_08-14-42.960, 2023-08-28_21-51-59.670, 2023-08-29_07-44-59.430, 2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520, 2023-08-27_05-58-27.600, 2023-08-27_10-57-37.070, 2023-08-27_11-16-32.730",No
2023-08-27 10:54:23,"2023-08-27_06-30-01.970, 2023-08-27_10-57-37.070, 2023-08-27_10-33-48.930, 2023-08-27_12-41-20.950, 2023-08-29_07-44-59.430, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770, 2023-08-27_05-36-05.360, 2023-08-27_11-35-13.520, 2023-08-27_14-02-20.400, 2023-08-28_08-14-42.960, 2023-08-28_21-51-59.670, 2023-08-27_05-58-27.600, 2023-08-27_12-36-58.390",No
2023-08-27 10:57:43,"2023-08-27_05-36-05.360, 2023-08-27_10-10-23.770, 2023-08-27_10-57-37.070, 2023-08-29_05-25-49.600, 2023-08-27_11-16-32.730, 2023-08-27_11-37-37.230, 2023-08-28_21-51-59.670, 2023-08-28_22-11-03.590, 2023-08-27_11-35-13.520, 2023-08-27_05-58-27.600, 2023-08-27_12-36-58.390, 2023-08-30_15-58-06.050, 2023-08-28_18-47-59.200, 2023-08-27_11-37-59.620, 2023-08-27_12-41-20.950, 2023-08-28_12-58-31.740, 2023-08-27_11-55-15.880, 2023-08-28_04-28-20.740, 2023-08-27_09-58-08.540, 2023-08-28_10-25-21.180, 2023-08-27_11-46-16.910, 2023-08-29_07-44-59.430, 2023-08-28_02-44-56.290, 2023-08-27_06-54-53.700, 2023-08-29_10-21-44.840, 2023-08-28_08-14-42.960, 2023-08-28_01-58-56.490, 2023-08-30_05-59-49.670, 2023-08-30_06-13-26.140, 2023-08-27_12-50-23.490, 2023-08-27_13-26-03.210, 2023-08-27_06-30-01.970, 2023-08-27_20-07-47.140, 2023-08-28_01-25-08.290, 2023-08-27_10-26-15.050, 2023-08-29_03-07-57.930, 2023-08-27_10-36-46.980, 2023-08-27_10-33-48.930, 2023-08-29_05-49-48.530, 2023-08-27_14-02-20.400",Yes
2023-08-27 11:16:37,"2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770, 2023-08-27_10-26-15.050, 2023-08-28_10-25-21.180, 2023-08-27_10-36-46.980, 2023-08-28_21-51-59.670, 2023-08-29_05-25-49.600, 2023-08-30_15-58-06.050, 2023-08-27_11-37-59.620, 2023-08-27_10-57-37.070, 2023-08-27_11-55-15.880, 2023-08-27_10-33-48.930, 2023-08-28_08-14-42.960, 2023-08-28_02-44-56.290, 2023-08-27_12-36-58.390, 2023-08-30_05-59-49.670, 2023-08-28_01-25-08.290, 2023-08-29_05-49-48.530, 2023-08-27_13-26-03.210, 2023-08-27_11-35-13.520, 2023-08-27_20-07-47.140, 2023-08-27_09-58-08.540, 2023-08-28_01-58-56.490, 2023-08-27_11-46-16.910, 2023-08-28_18-47-59.200, 2023-08-27_14-02-20.400, 2023-08-30_00-51-10.050, 2023-08-27_06-54-53.700, 2023-08-29_07-44-59.430, 2023-08-28_22-11-03.590, 2023-08-28_04-28-20.740, 2023-08-29_10-21-44.840, 2023-08-27_06-30-01.970, 2023-08-27_12-50-23.490, 2023-08-30_06-13-26.140, 2023-08-27_11-37-37.230, 2023-08-28_12-58-31.740, 2023-08-29_03-07-57.930, 2023-08-27_12-41-20.950, 2023-08-27_05-58-27.600",Yes
